representation,classifier,protocol,metric,point_estimate,bootstrap_mean,bootstrap_std,ci95_low,ci95_high,bootstrap_iterations,unit
classical,svm_rbf,S_R,mcc,-0.02401830910056792,-0.024017187715822997,0.009818628835718811,-0.04446552456761691,-0.006571819753104035,2000,subject
hubert,svm_rbf,R_R,f1,0.5725242574839651,0.5726511020164681,0.025057990960266303,0.5210838064616321,0.6184174622718734,2000,subject
hubert,svm_rbf,R_R,balanced_accuracy,0.576736601151267,0.5768557779540529,0.013639343294089596,0.5497260839626742,0.6027254249540734,2000,subject
hubert,svm_rbf,R_R,roc_auc,0.6213366203106231,0.6215917137567317,0.017636540838559176,0.5872706806208571,0.6557752118564989,2000,subject
hubert,svm_rbf,R_R,mcc,0.16210773361603842,0.1623603415752098,0.02959167505399492,0.10309187795606307,0.2189158895741027,2000,subject
hubert,svm_rbf,S_S,f1,0.5648467204530984,0.5641447125615213,0.022420266232171016,0.5192918036989377,0.6072802712694124,2000,subject
hubert,svm_rbf,S_S,balanced_accuracy,0.5952589170543495,0.5950261330758704,0.014008317089782653,0.5694562911115859,0.6232170660652784,2000,subject
hubert,svm_rbf,S_S,roc_auc,0.6470236158529384,0.6467035370710517,0.017013574618741534,0.6146365815066407,0.6807565275320826,2000,subject
hubert,svm_rbf,S_S,mcc,0.20137341209694085,0.20085659668367123,0.028903152897238667,0.14735593580241313,0.2590778622194178,2000,subject
hubert,svm_rbf,R_S,f1,0.27414622638960096,0.27309641896786496,0.0367182143726839,0.20322242068346227,0.34722701904099723,2000,subject
hubert,svm_rbf,R_S,balanced_accuracy,0.5297689539159842,0.5295138252385673,0.01192010187708711,0.5081048051603428,0.5539183794910624,2000,subject
hubert,svm_rbf,R_S,roc_auc,0.5921482869423979,0.591770384237265,0.018316462132871233,0.5562144540177488,0.6288125942131463,2000,subject
hubert,svm_rbf,R_S,mcc,0.06906815663028795,0.068232278321796,0.026846579464265764,0.01783429131939312,0.1246889788924459,2000,subject
hubert,svm_rbf,S_R,f1,0.36638350469827785,0.36724896951915537,0.03692199408216819,0.2971369839540444,0.4386203878015021,2000,subject
hubert,svm_rbf,S_R,balanced_accuracy,0.5503098468146098,0.550478937108086,0.011946506593922773,0.5280859330717325,0.5745420237777584,2000,subject
hubert,svm_rbf,S_R,roc_auc,0.5951301688368762,0.5951134897686812,0.016902843660166676,0.562361526966557,0.6269512630155619,2000,subject
hubert,svm_rbf,S_R,mcc,0.1108711692961807,0.11123160960240348,0.02684869541757741,0.060641174699734506,0.16496247713688272,2000,subject
data2vec_fusion,svm_rbf,R_R,f1,0.5546831301194395,0.5555009897612301,0.02693274229781234,0.5014508788774313,0.6079942079237136,2000,subject
data2vec_fusion,svm_rbf,R_R,balanced_accuracy,0.5748607960607585,0.5752203735060257,0.013947841326838486,0.5471553091672807,0.6015918101856127,2000,subject
data2vec_fusion,svm_rbf,R_R,roc_auc,0.6067997759578514,0.6074822914626783,0.018391859486313222,0.5707716831846934,0.6422753784220855,2000,subject
data2vec_fusion,svm_rbf,R_R,mcc,0.15993893188827651,0.16079782444245747,0.03030106768583017,0.10052647656267517,0.21873917642930887,2000,subject
data2vec_fusion,svm_rbf,S_S,f1,0.5828322311714494,0.5826716106307827,0.019943838247267254,0.5431192117332942,0.6196078990282969,2000,subject
data2vec_fusion,svm_rbf,S_S,balanced_accuracy,0.5999753983231839,0.5999632016708449,0.013553951315232704,0.5743506078347584,0.6272174857163476,2000,subject
data2vec_fusion,svm_rbf,S_S,roc_auc,0.6381065027303929,0.6383949945148089,0.01775074813303498,0.6039093632354463,0.6741351565573173,2000,subject
data2vec_fusion,svm_rbf,S_S,mcc,0.20913136254913356,0.209132249980756,0.02793893316455369,0.1563282035825211,0.2654073612280108,2000,subject
data2vec_fusion,svm_rbf,R_S,f1,0.29450476924866353,0.29526854235090155,0.030937219363904457,0.23778833171695535,0.3566425499867289,2000,subject
data2vec_fusion,svm_rbf,R_S,balanced_accuracy,0.5325023614129349,0.532673826355051,0.0091448859497602,0.5160029895140564,0.551411368461096,2000,subject
data2vec_fusion,svm_rbf,R_S,roc_auc,0.5788216351049846,0.5786009425350999,0.01580599586408853,0.5492021452798627,0.6110176172511264,2000,subject
data2vec_fusion,svm_rbf,R_S,mcc,0.07706533323615034,0.07749209612431292,0.020976223182555792,0.03771510783633046,0.11900907613724826,2000,subject
data2vec_fusion,svm_rbf,S_R,f1,0.3239317335722,0.32265374804335006,0.034079442594418766,0.25932121871211,0.39248693828517306,2000,subject
data2vec_fusion,svm_rbf,S_R,balanced_accuracy,0.524887287332427,0.5245383858849223,0.008072006029151,0.5089009421733226,0.540460990550261,2000,subject
data2vec_fusion,svm_rbf,S_R,roc_auc,0.5744540835121624,0.5742727639031091,0.014027488016643401,0.5475363669285896,0.6025110058576746,2000,subject
data2vec_fusion,svm_rbf,S_R,mcc,0.05772850729620464,0.056866784231579336,0.019312844538360227,0.018208143347774132,0.09486944878585055,2000,subject
full_fusion,svm_rbf,R_R,f1,0.5547313729905512,0.5541960954160626,0.022818198153497386,0.5084810067258619,0.5978733469094674,2000,subject
full_fusion,svm_rbf,R_R,balanced_accuracy,0.5782914321370939,0.5781391285754094,0.012801287975447167,0.5538093937537579,0.6026907936911376,2000,subject
full_fusion,svm_rbf,R_R,roc_auc,0.626438246494307,0.6259403466124864,0.016974693878589325,0.593373928511927,0.6587351608168655,2000,subject
full_fusion,svm_rbf,R_R,mcc,0.16704888705207727,0.16665361608299306,0.027037214001372774,0.1145851331632947,0.21858876485780412,2000,subject
full_fusion,svm_rbf,S_S,f1,0.5688250341824791,0.5690288192619671,0.01965436745456325,0.5297834073113034,0.6069267226795636,2000,subject
full_fusion,svm_rbf,S_S,balanced_accuracy,0.5951806066270218,0.5950978125323915,0.013302598024722579,0.5679682906579734,0.6206712591659836,2000,subject
full_fusion,svm_rbf,S_S,roc_auc,0.6426883504015177,0.6425162192875041,0.016839637292656667,0.6083004779771956,0.6746498931405468,2000,subject
full_fusion,svm_rbf,S_S,mcc,0.2006036182420121,0.20042511708892508,0.02732711316980173,0.14433418889206345,0.25244909560948,2000,subject
full_fusion,svm_rbf,R_S,f1,0.21178096425358872,0.2122606674500323,0.0317218716649746,0.15310221882232325,0.2762556132143403,2000,subject
full_fusion,svm_rbf,R_S,balanced_accuracy,0.5194993168120328,0.519675079445214,0.009560273725682222,0.5028703147862048,0.5396904093315887,2000,subject
full_fusion,svm_rbf,R_S,roc_auc,0.5821216957775239,0.5821298605598497,0.0165093993659585,0.5510698257116835,0.6147600642756067,2000,subject
full_fusion,svm_rbf,R_S,mcc,0.032854395348030016,0.03322797305013623,0.02251018355163192,-0.008792706654556165,0.0817813259371332,2000,subject
full_fusion,svm_rbf,S_R,f1,0.3002776476626214,0.30038416473102586,0.03275044453752236,0.23801874596504424,0.3653438137228208,2000,subject
full_fusion,svm_rbf,S_R,balanced_accuracy,0.535630326808969,0.5355795994835442,0.00899979197717403,0.5187547842062277,0.5539781524735057,2000,subject
full_fusion,svm_rbf,S_R,roc_auc,0.5845537286986863,0.5842081084143167,0.01484587666000886,0.5548607704751439,0.6134328512147649,2000,subject
full_fusion,svm_rbf,S_R,mcc,0.07042261008092886,0.0701793365019698,0.021370331797592904,0.028953498661055208,0.11338793455621257,2000,subject
