subject_id,recorder_time_mapping,intercept_sec,slope_sec_per_sec,clock_drift_seconds_per_hour,anchors,reliable_anchors,median_anchor_correlation,max_absolute_fit_residual_sec,low_confidence,phone_duration_sec,recorder_duration_sec
21,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,2.5060887318532137,-0.00030605633696708534,-1.1018028130815072,5,5,0.7722654557696587,4.075,True,22257.92,57342.08
26,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,11.630615583562058,-0.000256108987376585,-0.921992354555706,5,5,0.9012877898159493,5.0,True,41635.2,41627.712
27,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,5.093963589097196,-0.00047835997862195586,-1.7220959230390411,5,5,0.9601586503462928,12.05,True,37633.28,37603.328
28,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,3.6625506519836635,-0.00022068755290914247,-0.7944751904729129,5,5,0.7813975588161763,7.649999999999999,True,36834.432,36817.216
29,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,11.17442592178542,-0.0005054103041544125,-1.819477094955885,5,4,0.6073076492107012,9.950000000000003,True,36395.2,36370.816
30,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,10.819319118311988,-0.000626115918258798,-2.2540173057316726,5,4,0.7812655805728417,13.5,True,48537.92,48508.544
31,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,8.323069815485054,-0.00032301271010141074,-1.1628457563650787,5,5,0.8216587621939576,7.070833333333335,True,45975.984,45961.472
32,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,3.62259741892271,-0.00024038709592688108,-0.8653935453367719,5,5,0.7824915147399787,6.900000000000002,True,35147.976,35131.648
33,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,1.6842165593862983,-0.0004592481556594069,-1.6532933603738649,5,5,0.6651272192111213,10.349999999999998,True,39170.24,39125.76
34,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,-164.98501400709978,-0.0018431097900004278,-6.63519524400154,5,0,0.07515557694990202,270.7625,True,38429.6,40573.952
35,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,223.32193390064973,0.0002020903908829659,0.7275254071786772,5,0,0.10235081017823006,422.38750000000005,True,40592.496,38379.520000000004
36,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,4.848829149327102,-0.00019378264573941513,-0.6976175246618944,5,5,0.8645723315441791,6.650000000000001,True,38705.664,38691.072
37,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,4.72884644535395,-0.00025264008892931134,-0.9095043201455209,5,5,0.842913004488767,9.0,True,42185.28,42187.136
38,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,12.441545679299374,-0.00044093924045628905,-1.5873812656426405,5,5,0.8068316112424198,10.691666666666666,True,55542.56,55524.864
39,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,1.9252004420973474,-0.0004415694943085245,-1.5896501795106883,5,5,0.7713869604015859,40.8,True,40490.24,40424.896
40,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,4.059099948442219,-0.0002139214675337617,-0.7701172831215422,5,5,0.8356107266868975,6.15,True,37965.384,37949.44
41,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,3.3634638445884537,-0.0002224781266440267,-0.8009212559184961,5,5,0.7603596273773289,8.75,True,35648.064,35630.144
42,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,5.409933722533828,-0.0002645759265369176,-0.9524733355329033,5,4,0.5331825896251347,6.2250000000000005,True,51172.64,51163.136
43,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,2.496667222922105,-0.00048366122141589194,-1.741180397097211,5,5,0.7810288336909351,10.350000000000001,True,38058.936,38029.376000000004
44,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,1.6890550042074945,-0.0004687353023676376,-1.6874470885234953,5,5,0.8787689127115887,44.050000000000004,True,38846.24,38781.184
45,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,19.562587072373375,-0.0010050726909281884,-3.6182616873414783,5,5,0.9431601845082362,26.65,True,40373.232,40320.64
46,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,3.79134696083288,-0.00017911168790760702,-0.6448020764673853,5,5,0.9284453750838438,4.2,True,40113.936,40101.76
47,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,-13.442432237620533,-0.001550786462181966,-5.582831263855078,5,5,0.7817696239207645,17.533333333333335,True,36375.2,36313.92
48,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,3.663782605510984,-0.00022310314806075267,-0.8031713330187096,5,5,0.8521812403503254,7.050000000000001,True,35550.792,35533.184
