subject_id,anchor_center_phone_sec,recorder_time_minus_phone_time_sec,envelope_correlation,fitted_lag_sec,residual_sec,correlation_reliable
13,27588.983999999997,-0.2,0.9491900810367709,-2.175,1.9749999999999999,True
13,36615.312,-12.3,0.8056775334335868,-4.15,-8.15,True
14,510.0,1.0,0.8301685965172915,3.2500000000000004,-2.2500000000000004,True
14,10354.488000000001,1.6,0.8510697967593616,1.3750000000000002,0.22499999999999987,True
14,20198.976000000002,-1.1,0.9536774488389653,-0.5,-0.6000000000000001,True
14,30043.464000000004,-0.5,0.9045150285112947,-2.375,1.875,True
14,39887.952000000005,-12.9,0.581982554299007,-4.25,-8.65,True
15,510.0,2.3000000000000003,0.8667437397398418,6.299999999999999,-3.9999999999999987,True
15,10474.008,2.9000000000000004,0.8334517218300921,1.9499999999999993,0.9500000000000011,True
15,20438.016,-3.1,0.8632509739287915,-2.4000000000000004,-0.6999999999999997,True
15,30402.023999999998,-2.4000000000000004,0.8267899335653762,-6.75,4.35,True
15,40366.032,-25.0,0.7994602071645531,-11.100000000000001,-13.899999999999999,True
16,510.0,1.9000000000000001,0.8177638210109593,7.600000000000001,-5.700000000000001,True
16,9719.384,2.4000000000000004,0.8051380500501627,0.3000000000000007,2.0999999999999996,True
16,18928.768,-7.5,0.7567044782534017,-7.0,-0.5,True
16,28138.152000000002,-7.0,0.8597458429987308,-14.3,7.300000000000001,True
16,37347.536,-63.7,0.7483806759315279,-21.6,-42.1,True
18,510.0,-19.5,0.6201998248537237,-8.049999999999999,-11.450000000000001,True
18,10761.272,-18.8,0.5902226214011214,-17.975,-0.8249999999999993,True
18,21012.544,-27.900000000000002,0.7440829916268856,-27.900000000000002,0.0,True
18,31263.816000000003,-40.300000000000004,0.7455143335099708,-37.825,-2.4750000000000014,True
18,41515.088,-53.400000000000006,0.5396792792268986,-47.75000000000001,-5.649999999999999,True
19,510.0,5.6000000000000005,0.6948469909100621,7.650000000000001,-2.0500000000000007,True
19,9795.896,6.1000000000000005,0.46612450553910145,5.825000000000001,0.27499999999999947,True
19,19081.792,3.5,0.5445633319694518,4.0,-0.5,True
19,28367.688000000002,4.0,0.8563873220766551,2.175,1.8250000000000002,True
19,37653.584,-8.3,0.700286313939476,0.34999999999999964,-8.65,True
20,510.0,3.3000000000000003,0.9279312519223893,5.55,-2.2499999999999996,True
20,9558.328,3.8000000000000003,0.9197228932439526,3.5749999999999997,0.22500000000000053,True
20,18606.656,1.0,0.9070818649264321,1.5999999999999996,-0.5999999999999996,True
20,27654.983999999997,1.6,0.8328995085181131,-0.375,1.975,True
