experiment_family,results_root,representation,base_representation,feature,classifier,protocol,train_domain,test_domain,fold,feature_dimension,n_test,evaluation_unit,run_id,experiment_key,timestamp,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,macro_f1,mcc,cohen_kappa,roc_auc,tn,fp,fn,tp
pca_post_fix,P1_dimension_control_v3,wavlm_large_pca_768,wavlm_large,,xgboost,S_R,S,R,0,768.0,4003,window-level (per-fold test set),743fb9b7fd306d23,743fb9b7fd306d23,2026-08-19T16:39:12.944800+00:00,0.5500874344241818,0.546068584126033,0.610969387755102,0.24253164556962026,0.8496055226824457,0.3472272562522653,0.5019917489570836,0.11607371009203765,0.09286896961136226,0.6127403690110604,1723,305,1496,479
pca_post_fix,P1_dimension_control_v3,full_fusion_v2_pca_384,full_fusion_v2,,svm_rbf,S_R,S,R,2,384.0,3966,window-level (per-fold test set),74f38f40e92d6a22,74f38f40e92d6a22,2026-08-19T09:21:10.913938+00:00,0.5572365103378719,0.55778127708402,0.5782493368700266,0.43775100401606426,0.6778115501519757,0.4982857142857143,0.551038164002063,0.11902652740078012,0.1154346785674003,0.5978143831658956,1338,636,1120,872
pca_post_fix,P1_dimension_control_v3,full_fusion_v2_pca_384,full_fusion_v2,,mlp,S_R,S,R,1,384.0,3990,window-level (per-fold test set),75ab6d30205e30c3,75ab6d30205e30c3,2026-08-19T09:36:51.831420+00:00,0.5380952380952381,0.5389677546447347,0.5553333333333333,0.4146341463414634,0.663301362948006,0.47477913935594185,0.5312835531268638,0.08044930208007577,0.07779621289931782,0.5680777993225337,1314,667,1176,833
pca_post_fix,P1_dimension_control_v3,full_fusion_pca_768,full_fusion,,svm_rbf,R_S,R,S,1,768.0,3990,window-level (per-fold test set),7625f620fdc1102e,7625f620fdc1102e,2026-08-19T09:10:37.170056+00:00,0.5213032581453634,0.52335514917852,0.5597104945717732,0.2309606769537083,0.8157496214033316,0.3269908386187456,0.4777700206318154,0.05756457919466615,0.046517208582133374,0.5527885745844859,1616,365,1545,464
pca_post_fix,P1_dimension_control_v3,full_fusion_v2_pca_768,full_fusion_v2,,random_forest,S_R,S,R,0,768.0,4003,window-level (per-fold test set),76b62f039b863cea,76b62f039b863cea,2026-08-19T10:17:13.446367+00:00,0.5048713464901324,0.5046522108206626,0.49819121447028425,0.4881012658227848,0.5212031558185405,0.4930946291560102,0.504603955203005,0.009308745484410455,0.009306884702215634,0.5169318153446683,1057,971,1011,964
pca_post_fix,P1_dimension_control_v3,full_fusion_pca_1536,full_fusion,,random_forest,R_S,R,S,1,1536.0,3990,window-level (per-fold test set),774e8ac9c72fef61,774e8ac9c72fef61,2026-08-19T09:31:21.195583+00:00,0.5215538847117794,0.5233226100920416,0.5505050505050505,0.27127924340467896,0.7753659767794043,0.3634544848282761,0.49009905530311615,0.05399594284226665,0.046478614053997336,0.5572911549717336,1536,445,1464,545
pca_post_fix,P1_dimension_control_v3,full_fusion_v2_pca_768,full_fusion_v2,,xgboost,R_S,R,S,1,768.0,3990,window-level (per-fold test set),78d47e1952c9f866,78d47e1952c9f866,2026-08-19T10:51:42.917659+00:00,0.5536340852130326,0.5543842461573097,0.5726114649681529,0.4474863115978099,0.6612821807168097,0.502374965074043,0.5488471053500186,0.11132118112680343,0.10860078149009955,0.582760716603653,1310,671,1110,899
pca_post_fix,P1_dimension_control_v3,data2vec_fusion_pca_768,data2vec_fusion,,xgboost,R_S,R,S,0,768.0,4003,window-level (per-fold test set),78dfd9138ffb5e22,78dfd9138ffb5e22,2026-08-19T10:13:08.876284+00:00,0.5648263802148389,0.5627122812273737,0.5857247976453275,0.4030379746835443,0.7223865877712031,0.47750449910017995,0.552322455029542,0.13242185466475867,0.12593783467235697,0.6186723840910793,1465,563,1179,796
pca_post_fix,P1_dimension_control_v3,full_fusion_v2_pca_1536,full_fusion_v2,,svm_rbf,R_S,R,S,3,1536.0,3970,window-level (per-fold test set),792af11ab86ea744,792af11ab86ea744,2026-08-19T09:13:57.949715+00:00,0.5440806045340051,0.5428103064824001,0.6139154160982264,0.2276176024279211,0.8580030105368791,0.33210332103321033,0.493011507552934,0.11033466472250338,0.08583741984204907,0.5820852244362604,1710,283,1527,450
pca_post_fix,P1_dimension_control_v3,full_fusion_v2_pca_1536,full_fusion_v2,,xgboost,S_R,S,R,2,1536.0,3966,window-level (per-fold test set),7982c8b83da2baa0,7982c8b83da2baa0,2026-08-19T11:01:14.620371+00:00,0.5592536560766516,0.5596817360627921,0.575776397515528,0.46536144578313254,0.6540020263424519,0.5147140477512493,0.555509448817888,0.12153156864251281,0.11925920166600357,0.5877873194907288,1291,683,1065,927
