representation,classifier,protocol,metric,filtered_point,baseline_point,point_difference,bootstrap_mean_difference,bootstrap_std,ci95_low,ci95_high,p_value_two_sided,bootstrap_iterations,unit,interpretation
full_fusion,mlp,R_R,roc_auc,0.6190620622574871,0.6168626066818165,0.0021994555756705836,0.002481590913296442,0.00939584390509252,-0.017080762015529445,0.020738833856923586,0.783,2000,subject,CI includes zero
full_fusion,mlp,R_R,mcc,0.13191567345511584,0.1458021825215162,-0.013886509066400349,-0.013390325712352954,0.016236432680209485,-0.046390032094319494,0.019143300445150575,0.385,2000,subject,CI includes zero
full_fusion,mlp,S_S,f1,0.4598184452828257,0.5025136534967626,-0.04269520821393685,-0.043359795471492095,0.02341274944537204,-0.08900911076631524,0.002934220350860431,0.071,2000,subject,CI includes zero
full_fusion,mlp,S_S,balanced_accuracy,0.5697711136742176,0.5748047249333063,-0.005033611259088633,-0.005055113914870873,0.009160624215731614,-0.023505075582947586,0.012567926879305193,0.573,2000,subject,CI includes zero
full_fusion,mlp,S_S,roc_auc,0.630985691691583,0.6245613937741804,0.006424297917402622,0.0065799491115470544,0.007518822193059773,-0.008761392299951567,0.02107178116705639,0.376,2000,subject,CI includes zero
full_fusion,mlp,S_S,mcc,0.14786389226970612,0.15343068479065233,-0.005566792520946218,-0.00556224225135434,0.018885840320038004,-0.043442088462588534,0.029393339722392414,0.759,2000,subject,CI includes zero
full_fusion,mlp,R_S,f1,0.4026680317970882,0.3753025557873346,0.027365476009753587,0.027482389090186465,0.02841950027296046,-0.027175994506708562,0.0825091813098585,0.334,2000,subject,CI includes zero
full_fusion,mlp,R_S,balanced_accuracy,0.5356142235733926,0.5365084213369236,-0.0008941977635309462,-0.0009246065064373514,0.0094510714759932,-0.01875345458417245,0.018579823164421156,0.882,2000,subject,CI includes zero
full_fusion,mlp,R_S,roc_auc,0.5896802036305386,0.5894127854276332,0.00026741820290543394,0.0002224773230007197,0.010413626836966654,-0.0200742849804306,0.020699569665356386,0.967,2000,subject,CI includes zero
full_fusion,mlp,R_S,mcc,0.07424966829505718,0.08533290587085518,-0.011083237575798002,-0.011049597535482491,0.020745894860286912,-0.05036698740745639,0.03203602766165848,0.582,2000,subject,CI includes zero
full_fusion,mlp,S_R,f1,0.19430452656791847,0.29115944683961503,-0.09685492027169657,-0.09682751709910152,0.028398239604920304,-0.15441601423773407,-0.04204946298027626,0.0,2000,subject,CI excludes zero
full_fusion,mlp,S_R,balanced_accuracy,0.517800249483667,0.5258815813137964,-0.008081331830129379,-0.007988485881146382,0.007712642672981788,-0.02349995114890501,0.006869585401645408,0.293,2000,subject,CI includes zero
full_fusion,mlp,S_R,roc_auc,0.5770726696651924,0.5656127905833213,0.011459879081871183,0.011351153380907137,0.010395078129781337,-0.00810300601618651,0.03209816213445435,0.271,2000,subject,CI includes zero
