representation,classifier,protocol,metric,ablation_point,full_fusion_point,point_difference,bootstrap_mean_difference,bootstrap_std,ci95_low,ci95_high,p_value_two_sided,bootstrap_iterations,unit,interpretation
full_minus_data2vec_audio,random_forest,R_S,f1,0.1813446363493981,0.24375664856433327,-0.06241201221493517,-0.06304135038161891,0.019723891679255607,-0.10288582121463742,-0.022981146804115494,0.002,2000,subject,CI excludes zero
full_minus_data2vec_audio,random_forest,R_S,balanced_accuracy,0.5229986217884398,0.519603665883372,0.0033949559050677758,0.0033089858961068107,0.005721389922469078,-0.007795856983537211,0.014423466057738882,0.574,2000,subject,CI includes zero
full_minus_data2vec_audio,random_forest,R_S,roc_auc,0.6013855972370469,0.5890811223225431,0.012304474914503816,0.01226790828663637,0.007382185754794693,-0.001637913718483292,0.026465577259848883,0.097,2000,subject,CI includes zero
full_minus_data2vec_audio,random_forest,R_S,mcc,0.07440243110275883,0.05259836139396049,0.021804069708798342,0.02176565590592706,0.015581897793703278,-0.007650059077034183,0.05135595985542376,0.16,2000,subject,CI includes zero
full_minus_data2vec_audio,random_forest,S_R,f1,0.31537338020419997,0.2959170254946805,0.019456354709519452,0.019248793998675316,0.0198957663603952,-0.021860151084214248,0.05443406835323224,0.341,2000,subject,CI includes zero
full_minus_data2vec_audio,random_forest,S_R,balanced_accuracy,0.5284934480166278,0.5217882162330268,0.00670523178360094,0.006620289868676864,0.006405884271085749,-0.006223103360266711,0.01793555714715163,0.312,2000,subject,CI includes zero
full_minus_data2vec_audio,random_forest,S_R,roc_auc,0.5724299715407432,0.5668258758729262,0.005604095667816944,0.005661034451861166,0.005621224067936041,-0.005335237370775892,0.01642126010810714,0.32,2000,subject,CI includes zero
full_minus_data2vec_audio,random_forest,S_R,mcc,0.06346547945344537,0.04947673151928215,0.013988747934163222,0.013809563851937282,0.015477850578002066,-0.017399580975705632,0.04167070255246796,0.367,2000,subject,CI includes zero
full_minus_data2vec_audio,xgboost,R_R,f1,0.5484740439434376,0.536344721813834,0.012129322129603604,0.012166364005770028,0.007068063933662088,-0.0010468262549715348,0.02600056157851601,0.079,2000,subject,CI includes zero
full_minus_data2vec_audio,xgboost,R_R,balanced_accuracy,0.5776877845301431,0.5723998638340422,0.005287920696100956,0.005300014611707955,0.003995516513378736,-0.0027120573745966978,0.012723346479540551,0.184,2000,subject,CI includes zero
full_minus_data2vec_audio,xgboost,R_R,roc_auc,0.6285894901960563,0.6218681584641266,0.006721331731929681,0.006780274482689299,0.004760272377860667,-0.0024350749929340854,0.015877630777955277,0.159,2000,subject,CI includes zero
full_minus_data2vec_audio,xgboost,R_R,mcc,0.16551000518340608,0.1567111334732868,0.008798871710119283,0.008790888974854576,0.008259648460951893,-0.007881015736816191,0.02396050645118922,0.293,2000,subject,CI includes zero
full_minus_data2vec_audio,xgboost,S_S,f1,0.5601875912714627,0.5702845272885622,-0.01009693601709949,-0.01006051272671629,0.008003442940228528,-0.025459168578931334,0.005320404489551657,0.206,2000,subject,CI includes zero
full_minus_data2vec_audio,xgboost,S_S,balanced_accuracy,0.5940160640704355,0.5958871489454555,-0.0018710848750199682,-0.0019679282278824047,0.004010868810816592,-0.009739021748304311,0.005847362607189568,0.637,2000,subject,CI includes zero
full_minus_data2vec_audio,xgboost,S_S,roc_auc,0.6430789929136439,0.6441655953756233,-0.0010866024619794468,-0.001065668957008877,0.003705695418262304,-0.008452184452712999,0.005902020085985112,0.798,2000,subject,CI includes zero
full_minus_data2vec_audio,xgboost,S_S,mcc,0.19747836094767987,0.19911749074940108,-0.0016391298017212064,-0.001809099289377616,0.008216012733580675,-0.017913421889774326,0.014108184288908249,0.848,2000,subject,CI includes zero
full_minus_data2vec_audio,xgboost,R_S,f1,0.1614547838683918,0.2053401903880496,-0.043885406519657805,-0.04358680681720214,0.01842335920766891,-0.0818558748947253,-0.011901255091092036,0.009,2000,subject,CI excludes zero
full_minus_data2vec_audio,xgboost,R_S,balanced_accuracy,0.5174228773611692,0.5206025548100288,-0.003179677448859608,-0.0030694222289073896,0.005767181229391865,-0.01575420588447179,0.0063339014485049635,0.654,2000,subject,CI includes zero
full_minus_data2vec_audio,xgboost,R_S,roc_auc,0.6001364116754484,0.5989447895517507,0.001191622123697722,0.0013855781050781243,0.008272346548730427,-0.015477741717121353,0.015634280453645434,0.797,2000,subject,CI includes zero
full_minus_data2vec_audio,xgboost,R_S,mcc,0.04376064018014957,0.04855514262723246,-0.004794502447082891,-0.0044333766530532765,0.013982518256038393,-0.034977860970104815,0.018736090168784445,0.806,2000,subject,CI includes zero
full_minus_data2vec_audio,xgboost,S_R,f1,0.3497124848024639,0.2642186268747714,0.08549385792769254,0.08521922866693235,0.014034676620934019,0.05932743523554327,0.11298280858249844,0.0,2000,subject,CI excludes zero
full_minus_data2vec_audio,xgboost,S_R,balanced_accuracy,0.5349598051110052,0.5211121711792622,0.013847633931742931,0.01381549530726808,0.006506384722796766,0.0018892979702962087,0.027446600153791058,0.02,2000,subject,CI excludes zero
full_minus_data2vec_audio,xgboost,S_R,roc_auc,0.5890989079484998,0.5753049849093753,0.013793923039124523,0.013802806450534963,0.007642415612065912,-0.0011178471621287175,0.029463572037142716,0.072,2000,subject,CI includes zero
