representation,classifier,protocol,metric,point_estimate,bootstrap_mean,bootstrap_std,ci95_low,ci95_high,bootstrap_iterations,unit
data2vec_fusion,svm_rbf,S_S,balanced_accuracy,0.5999753983231839,0.5999632016708449,0.013553951315232704,0.5743506078347584,0.6272174857163476,2000,subject
data2vec_fusion,svm_rbf,S_S,roc_auc,0.6381065027303929,0.6383949945148089,0.01775074813303498,0.6039093632354463,0.6741351565573173,2000,subject
data2vec_fusion,svm_rbf,S_S,mcc,0.20913136254913356,0.209132249980756,0.02793893316455369,0.1563282035825211,0.2654073612280108,2000,subject
data2vec_fusion,svm_rbf,R_S,f1,0.29450476924866353,0.29526854235090155,0.030937219363904457,0.23778833171695535,0.3566425499867289,2000,subject
data2vec_fusion,svm_rbf,R_S,balanced_accuracy,0.5325023614129349,0.532673826355051,0.0091448859497602,0.5160029895140564,0.551411368461096,2000,subject
data2vec_fusion,svm_rbf,R_S,roc_auc,0.5788216351049846,0.5786009425350999,0.01580599586408853,0.5492021452798627,0.6110176172511264,2000,subject
data2vec_fusion,svm_rbf,R_S,mcc,0.07706533323615034,0.07749209612431292,0.020976223182555792,0.03771510783633046,0.11900907613724826,2000,subject
data2vec_fusion,svm_rbf,S_R,f1,0.3239317335722,0.32265374804335006,0.034079442594418766,0.25932121871211,0.39248693828517306,2000,subject
data2vec_fusion,svm_rbf,S_R,balanced_accuracy,0.524887287332427,0.5245383858849223,0.008072006029151,0.5089009421733226,0.540460990550261,2000,subject
data2vec_fusion,svm_rbf,S_R,roc_auc,0.5744540835121624,0.5742727639031091,0.014027488016643401,0.5475363669285896,0.6025110058576746,2000,subject
data2vec_fusion,svm_rbf,S_R,mcc,0.05772850729620464,0.056866784231579336,0.019312844538360227,0.018208143347774132,0.09486944878585055,2000,subject
full_fusion,svm_rbf,R_R,f1,0.5547313729905512,0.5541960954160626,0.022818198153497386,0.5084810067258619,0.5978733469094674,2000,subject
full_fusion,svm_rbf,R_R,balanced_accuracy,0.5782914321370939,0.5781391285754094,0.012801287975447167,0.5538093937537579,0.6026907936911376,2000,subject
full_fusion,svm_rbf,R_R,roc_auc,0.626438246494307,0.6259403466124864,0.016974693878589325,0.593373928511927,0.6587351608168655,2000,subject
full_fusion,svm_rbf,R_R,mcc,0.16704888705207727,0.16665361608299306,0.027037214001372774,0.1145851331632947,0.21858876485780412,2000,subject
full_fusion,svm_rbf,S_S,f1,0.5688250341824791,0.5690288192619671,0.01965436745456325,0.5297834073113034,0.6069267226795636,2000,subject
full_fusion,svm_rbf,S_S,balanced_accuracy,0.5951806066270218,0.5950978125323915,0.013302598024722579,0.5679682906579734,0.6206712591659836,2000,subject
full_fusion,svm_rbf,S_S,roc_auc,0.6426883504015177,0.6425162192875041,0.016839637292656667,0.6083004779771956,0.6746498931405468,2000,subject
full_fusion,svm_rbf,S_S,mcc,0.2006036182420121,0.20042511708892508,0.02732711316980173,0.14433418889206345,0.25244909560948,2000,subject
full_fusion,svm_rbf,R_S,f1,0.21178096425358872,0.2122606674500323,0.0317218716649746,0.15310221882232325,0.2762556132143403,2000,subject
full_fusion,svm_rbf,R_S,balanced_accuracy,0.5194993168120328,0.519675079445214,0.009560273725682222,0.5028703147862048,0.5396904093315887,2000,subject
full_fusion,svm_rbf,R_S,roc_auc,0.5821216957775239,0.5821298605598497,0.0165093993659585,0.5510698257116835,0.6147600642756067,2000,subject
full_fusion,svm_rbf,R_S,mcc,0.032854395348030016,0.03322797305013623,0.02251018355163192,-0.008792706654556165,0.0817813259371332,2000,subject
full_fusion,svm_rbf,S_R,f1,0.3002776476626214,0.30038416473102586,0.03275044453752236,0.23801874596504424,0.3653438137228208,2000,subject
full_fusion,svm_rbf,S_R,balanced_accuracy,0.535630326808969,0.5355795994835442,0.00899979197717403,0.5187547842062277,0.5539781524735057,2000,subject
full_fusion,svm_rbf,S_R,roc_auc,0.5845537286986863,0.5842081084143167,0.01484587666000886,0.5548607704751439,0.6134328512147649,2000,subject
full_fusion,svm_rbf,S_R,mcc,0.07042261008092886,0.0701793365019698,0.021370331797592904,0.028953498661055208,0.11338793455621257,2000,subject
full_fusion_plus_hear,svm_rbf,R_R,f1,0.5461059766500973,0.5463235953501141,0.023331484561701542,0.4983457420074118,0.5897640642919103,2000,subject
full_fusion_plus_hear,svm_rbf,R_R,balanced_accuracy,0.5775296484971361,0.5777609243227662,0.012963846211659264,0.5520682941767713,0.6029521739099908,2000,subject
full_fusion_plus_hear,svm_rbf,R_R,roc_auc,0.6242524171304167,0.624666046758843,0.016717197464648375,0.5930387809810069,0.657986106830434,2000,subject
full_fusion_plus_hear,svm_rbf,R_R,mcc,0.16441163602296818,0.16493073722449025,0.02734943368360901,0.10987052069676753,0.21836615037343723,2000,subject
full_fusion_plus_hear,svm_rbf,S_S,f1,0.5777378238084964,0.5769552629868276,0.020276915999397186,0.535887321410002,0.6161307970236184,2000,subject
full_fusion_plus_hear,svm_rbf,S_S,balanced_accuracy,0.5999846018653547,0.599356479814066,0.014126820009346432,0.5727161562712593,0.6278095921125156,2000,subject
full_fusion_plus_hear,svm_rbf,S_S,roc_auc,0.6466388897648665,0.645723714687949,0.018102932552986947,0.6119782605850541,0.6815319514152688,2000,subject
full_fusion_plus_hear,svm_rbf,S_S,mcc,0.21010244654818988,0.2088317839925097,0.02885313594122843,0.1539473580215921,0.26572390622460795,2000,subject
full_fusion_plus_hear,svm_rbf,R_S,f1,0.0992571024518598,0.09906632171604642,0.022570514609121906,0.05904713538609948,0.14517563023419475,2000,subject
full_fusion_plus_hear,svm_rbf,R_S,balanced_accuracy,0.5096440241171025,0.5096677848184362,0.004873895009653093,0.5016090727975466,0.5205165785242417,2000,subject
full_fusion_plus_hear,svm_rbf,R_S,roc_auc,0.5709935731668594,0.5711559095361876,0.014283873364871618,0.541781001643456,0.5988395892194371,2000,subject
full_fusion_plus_hear,svm_rbf,R_S,mcc,0.025896477267115487,0.02611740266352532,0.013047455465187168,0.0025966276431383896,0.053644695468675015,2000,subject
full_fusion_plus_hear,svm_rbf,S_R,f1,0.28785402479096706,0.2873373568658393,0.03211071328476703,0.22337121759058454,0.3489647088853653,2000,subject
full_fusion_plus_hear,svm_rbf,S_R,balanced_accuracy,0.5347208029698811,0.534457049481211,0.008705691276877921,0.5173579084579408,0.5525391047969289,2000,subject
full_fusion_plus_hear,svm_rbf,S_R,roc_auc,0.5833204290788045,0.5829567923800978,0.0134994653786488,0.5548034336633572,0.6085566577387648,2000,subject
full_fusion_plus_hear,svm_rbf,S_R,mcc,0.07161591883978892,0.07095093446008187,0.020901066638382117,0.030129590258098648,0.11516324475845309,2000,subject
