representation,classifier,protocol,folds,feature_dimension,f1_mean,f1_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,mcc_mean,mcc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std
data2vec_audio,xgboost,S_S,5,768,0.5716398640239341,0.025343957139310792,0.581533661222228,0.01681515605563031,0.6215973324576162,0.015165985177224395,0.16389911539951982,0.034219066098581934,0.5579290093581653,0.0468540922222033,0.6051383130862911,0.05222698682548151
data2vec_fusion,mlp,R_R,5,1536,0.5303441599339218,0.030982992780642947,0.5667250133711004,0.014888486706595486,0.6071975364375818,0.01729894401564847,0.13598129456322075,0.030500028962760207,0.49100183782673745,0.06053014406690063,0.6424481889154634,0.0684001870385275
data2vec_fusion,mlp,R_S,5,1536,0.4022582052751855,0.16057790877108385,0.54610881532876,0.016459326048526426,0.5829911973195041,0.032256599661130855,0.10986807946423391,0.023494958915814743,0.34465988449073676,0.19906677975856732,0.7475577461667833,0.17129226860533395
data2vec_fusion,mlp,S_R,5,1536,0.40616830806921234,0.19182382850174207,0.5338986234727616,0.027042526456514508,0.5683668012928533,0.049630020143247786,0.08176157528888152,0.058309339368935585,0.36988436637987,0.22826444449274916,0.6979128805656531,0.21313278952395265
data2vec_fusion,mlp,S_S,5,1536,0.5724458586073166,0.04663135152773586,0.5932884289322844,0.024126551514521873,0.6361262214079659,0.032261935026591824,0.1893660608548345,0.050180776093468715,0.5479131986381561,0.08653305965499473,0.638663659226413,0.07298518267671894
data2vec_fusion,random_forest,R_R,5,1536,0.5397199964777515,0.018266431026624622,0.5624644347527947,0.01806582262448874,0.6030942354805363,0.023899738160763528,0.12602107754351785,0.03684089949445974,0.5122588815997179,0.03501400596068796,0.6126699879058717,0.05586320247431889
data2vec_fusion,random_forest,R_S,5,1536,0.35571572019886066,0.07235822943886788,0.535957633591748,0.02588965552968165,0.5978519142969915,0.04979839592652977,0.08604265790389376,0.06160009786772798,0.26054561856530417,0.07238581320378909,0.8113696486181917,0.05642381462630018
data2vec_fusion,random_forest,S_R,5,1536,0.3084444483420702,0.14579285783211146,0.5212351207416986,0.019970426442338225,0.5725115556426217,0.025348184264410965,0.051067739418940127,0.040879898785622794,0.23832301582808052,0.16930143906016942,0.8041472256553168,0.13616252994946126
data2vec_fusion,random_forest,S_S,5,1536,0.5686150977764111,0.03371498639282423,0.5868403605838726,0.014731097750252815,0.6298519667116068,0.01435323611994206,0.17526641778886817,0.029135889467144436,0.5464906142190546,0.0655022500271722,0.6271901069486903,0.061665346671548334
data2vec_fusion,svm_rbf,R_R,5,1536,0.5824555674192857,0.024209265037406807,0.5847320231551707,0.026760164924914967,0.6176959034792888,0.029329829010618688,0.1697607926020718,0.05338034989174456,0.5777815184763785,0.035246961694354,0.5916825278339627,0.053340093324499585
data2vec_fusion,svm_rbf,R_S,5,1536,0.3553205853938586,0.13773855828679982,0.5437035116180879,0.03843577240464626,0.5885869967803646,0.04226659909424134,0.10321578432229953,0.07595790892616734,0.2716053693295124,0.15422155282070024,0.8158016539066633,0.08893266370918214
data2vec_fusion,svm_rbf,S_R,5,1536,0.36857592997827715,0.16417531039156524,0.5312166060208726,0.02780537332062765,0.5749954034765498,0.028833003709951593,0.07153142155529785,0.05391814039175329,0.314095107162514,0.2268156229196182,0.7483381048792314,0.17360491693364846
data2vec_fusion,svm_rbf,S_S,5,1536,0.591092682018249,0.023923183007634057,0.6069170939870042,0.017384089434074903,0.6439182602236285,0.01719622168558166,0.21511242687856957,0.03494108534661314,0.5682667710513851,0.0453530341198799,0.6455674169226232,0.049618222955078596
data2vec_fusion,xgboost,R_R,5,1536,0.5575283248222231,0.014053718349019407,0.5741366932587926,0.013923101026231505,0.6172199260438855,0.015787470132265696,0.14920262312155386,0.02829671667593303,0.5358486146100027,0.036468682002541726,0.6124247719075828,0.05462315612334782
data2vec_fusion,xgboost,R_S,5,1536,0.3529650106341255,0.040525968422162266,0.5492187492095008,0.01437187070226382,0.617073757416353,0.04344824975910272,0.12659008955881812,0.044395960145819036,0.24755638403523555,0.04426290631658383,0.850881114383766,0.05361022621108364
data2vec_fusion,xgboost,S_R,5,1536,0.2661456526385847,0.1342658197360779,0.5161093367494789,0.013170300018962073,0.5662526571049655,0.018432116316695966,0.04127135989604695,0.028251488204799335,0.19099940924025055,0.12074187632281438,0.8412192642587074,0.10058112705835008
data2vec_fusion,xgboost,S_S,5,1536,0.5536915599620846,0.03736684217403352,0.5862812509436484,0.018248483389188608,0.6292112035995112,0.016952272304337292,0.17468811589375363,0.03537419129023474,0.5148030996598816,0.06005577280435085,0.6577594022274148,0.031848025391875597
data2vec_spectrogram,mlp,R_R,5,768,0.544875316458365,0.02700273228770361,0.5752302650455234,0.014734529278534466,0.6142000947554604,0.019463995002176975,0.15263531936044789,0.029955074324408183,0.5102457728840571,0.0581185328271969,0.6402147572069901,0.06429740675077615
