representation,classifier,feature_dimension,f1_R_R,f1_S_S,f1_R_S,f1_S_R,f1_gap_R_to_S,f1_gap_S_to_R,f1_mean_matched,f1_mean_cross_device,f1_mean_device_gap,balanced_accuracy_R_R,balanced_accuracy_S_S,balanced_accuracy_R_S,balanced_accuracy_S_R,balanced_accuracy_gap_R_to_S,balanced_accuracy_gap_S_to_R,balanced_accuracy_mean_matched,balanced_accuracy_mean_cross_device,balanced_accuracy_mean_device_gap,roc_auc_R_R,roc_auc_S_S,roc_auc_R_S,roc_auc_S_R,roc_auc_gap_R_to_S,roc_auc_gap_S_to_R,roc_auc_mean_matched,roc_auc_mean_cross_device,roc_auc_mean_device_gap,mcc_R_R,mcc_S_S,mcc_R_S,mcc_S_R,mcc_gap_R_to_S,mcc_gap_S_to_R,mcc_mean_matched,mcc_mean_cross_device,mcc_mean_device_gap,sensitivity_R_R,sensitivity_S_S,sensitivity_R_S,sensitivity_S_R,sensitivity_gap_R_to_S,sensitivity_gap_S_to_R,sensitivity_mean_matched,sensitivity_mean_cross_device,sensitivity_mean_device_gap,specificity_R_R,specificity_S_S,specificity_R_S,specificity_S_R,specificity_gap_R_to_S,specificity_gap_S_to_R,specificity_mean_matched,specificity_mean_cross_device,specificity_mean_device_gap
data2vec_fusion,svm_rbf,1536,0.5824555674192857,0.591092682018249,0.3553205853938586,0.36857592997827715,0.22713498202542715,0.2225167520399719,0.5867741247187674,0.36194825768606786,0.22482586703269958,0.5847320231551707,0.6069170939870042,0.5437035116180879,0.5312166060208726,0.04102851153708276,0.0757004879661316,0.5958245585710875,0.5374600588194802,0.05836449975160729,0.6176959034792888,0.6439182602236285,0.5885869967803646,0.5749954034765498,0.029108906698924186,0.06892285674707876,0.6308070818514586,0.5817912001284572,0.04901588172300142,0.1697607926020718,0.21511242687856957,0.10321578432229953,0.07153142155529785,0.06654500827977228,0.14358100532327173,0.19243660974032067,0.08737360293879869,0.10506300680152199,0.5777815184763785,0.5682667710513851,0.2716053693295124,0.314095107162514,0.3061761491468661,0.25417166388887114,0.5730241447638817,0.2928502382460132,0.28017390651786855,0.5916825278339627,0.6455674169226232,0.8158016539066633,0.7483381048792314,-0.22411912607270057,-0.10277068795660815,0.618624972378293,0.7820698793929473,-0.1634449070146543
data2vec_fusion,xgboost,1536,0.5575283248222231,0.5536915599620846,0.3529650106341255,0.2661456526385847,0.20456331418809764,0.28754590732349994,0.5556099423921539,0.30955533163635507,0.24605461075579882,0.5741366932587926,0.5862812509436484,0.5492187492095008,0.5161093367494789,0.024917944049291818,0.07017191419416946,0.5802089721012205,0.5326640429794898,0.047544929121730695,0.6172199260438855,0.6292112035995112,0.617073757416353,0.5662526571049655,0.00014616862753258353,0.06295854649454569,0.6232155648216984,0.5916632072606592,0.031552357561039135,0.14920262312155386,0.17468811589375363,0.12659008955881812,0.04127135989604695,0.022612533562735737,0.1334167559977067,0.16194536950765376,0.08393072472743254,0.07801464478022122,0.5358486146100027,0.5148030996598816,0.24755638403523555,0.19099940924025055,0.2882922305747671,0.32380369041963103,0.5253258571349422,0.21927789663774305,0.3060479604971991,0.6124247719075828,0.6577594022274148,0.850881114383766,0.8412192642587074,-0.2384563424761832,-0.1834598620312926,0.6350920870674988,0.8460501893212367,-0.2109581022537379
data2vec_spectrogram,mlp,768,0.544875316458365,0.5397397322932191,0.32174597237431596,0.49938138757422185,0.223129344084049,0.0403583447189973,0.542307524375792,0.4105636799742689,0.1317438444015231,0.5752302650455234,0.5792854778822405,0.5366997058563813,0.5385183511801324,0.038530559189142166,0.040767126702108136,0.577257871463882,0.5376090285182569,0.039648842945625096,0.6142000947554604,0.618012336225475,0.5869316375265798,0.5563718235658617,0.027268457228880605,0.061640512659613345,0.6161062154904677,0.5716517305462208,0.044454484944246975,0.15263531936044789,0.1632549590489795,0.08653613274180376,0.08660528800726966,0.06609918661864413,0.07664967104170983,0.1579451392047137,0.0865707103745367,0.071374428830177,0.5102457728840571,0.5037955758013845,0.24226531892403255,0.5023689330377301,0.26798045396002457,0.00142664276365434,0.5070206743427208,0.37231712598088135,0.13470354836183945,0.6402147572069901,0.6547753799630966,0.8311340927887299,0.5746677693225346,-0.1909193355817398,0.08010761064056204,0.6474950685850434,0.7029009310556322,-0.055405862470588874
data2vec_spectrogram,random_forest,768,0.5369784968013838,0.5455495585809785,0.22658861564663116,0.316377693488607,0.31038988115475263,0.22917186509237153,0.5412640276911811,0.27148315456761907,0.269780873123562,0.5597329327966463,0.5752955585455811,0.5261232370206858,0.5134550774828918,0.03360969577596051,0.061840481062689356,0.5675142456711137,0.5197891572517888,0.04772508841932499,0.5979202925244076,0.6186532409222238,0.5975085505492881,0.540117693757681,0.00041174197511950617,0.07853554716454281,0.6082867667233157,0.5688131221534846,0.03947364456983116,0.12064424947375083,0.1528948298649252,0.082846686747361,0.02971394211609596,0.03779756272638983,0.12318088774882924,0.13676953966933802,0.05628031443172848,0.08048922523760954,0.5106310129524395,0.5140140247654336,0.13996601283783508,0.24069255616005653,0.37066500011460446,0.27332146860537704,0.5123225188589365,0.19032928449894582,0.3219932343599907,0.6088348526408529,0.6365770923257283,0.9122804612035365,0.7862175988057271,-0.30344560856268354,-0.14964050647999871,0.6227059724832906,0.8492490300046318,-0.22654305752134118
data2vec_spectrogram,svm_rbf,768,0.5474890138192522,0.5390767490053712,0.10181753536245627,0.4308899141641079,0.4456714784567959,0.10818683484126329,0.5432828814123116,0.26635372476328206,0.27692915664902956,0.5777444300165392,0.5874051420788193,0.5084766026647628,0.5310121849740057,0.06926782735177639,0.056392957104813624,0.5825747860476793,0.5197443938193842,0.06283039222829512,0.6263954389444983,0.6281842625752133,0.5606770954507727,0.5611955773622477,0.06571834349372563,0.06698868521296564,0.6272898507598559,0.5609363364065102,0.06635351435334569,0.15759599496034088,0.1798143546605399,0.04094002096663938,0.06568801685546385,0.1166559739937015,0.11412633780507606,0.1687051748104404,0.053314018911051614,0.11539115589938878,0.5103635093973619,0.48816687909100087,0.057609535060601604,0.37037080060786226,0.45275397433676023,0.11779607848313861,0.49926519424418137,0.21399016783423194,0.2852750264099494,0.6451253506357167,0.6866434050666376,0.9593436702689241,0.6916535693401494,-0.31421831963320734,-0.0050101642735118634,0.6658843778511772,0.8254986198045368,-0.1596142419533596
data2vec_spectrogram,xgboost,768,0.570111167873897,0.545300605213189,0.18343139404735123,0.3813838055698573,0.38667977382654584,0.16391679964333172,0.557705886543543,0.28240759980860425,0.2752982867349388,0.5800852232950899,0.5829121590556927,0.5228895891213647,0.5315634490340886,0.057195634173725196,0.05134871002160413,0.5814986911753913,0.5272265190777267,0.05427217209766466,0.6174915749729537,0.6263850235900124,0.6146708960932709,0.569375066677009,0.0028206788796828475,0.05700995691300337,0.621938299281483,0.5920229813851399,0.029915317896343163,0.16060773879519702,0.16898089707367103,0.07965337426182283,0.07130553180616836,0.08095436453337419,0.09767536526750267,0.16479431793443403,0.07547945303399559,0.08931486490043844,0.5554169512060554,0.5033793756409609,0.10870145788268464,0.32525990136226357,0.44671549332337074,0.17811947427869734,0.5293981634235081,0.2169806796224741,0.31241748380103396,0.6047534953841244,0.6624449424704247,0.9370777203600447,0.7378669967059136,-0.3323242249759203,-0.07542205423548887,0.6335992189272746,0.8374723585329791,-0.20387313960570452
full_fusion,mlp,3840,0.5659998604462553,0.5161183781062424,0.4112050442506427,0.32693146238919074,0.15479481619561258,0.18918691571705165,0.5410591192762488,0.3690682533199167,0.17199086595633212,0.5717016104797559,0.5774915654081841,0.5365317639604278,0.5284171626199741,0.035169846519328085,0.04907440278821007,0.5745965879439701,0.532474463290201,0.04212212465376908,0.6116648154160413,0.627379158370994,0.5858636189729591,0.5607464276982249,0.02580119644308221,0.06663273067276909,0.6195219868935177,0.5733050233355921,0.046216963557925594,0.14435644745158252,0.1603015401866083,0.08009082473632799,0.06590529289102287,0.06426562271525453,0.09439624729558543,0.15232899381909543,0.07299805881367544,0.07933093500541999,0.5616963775301518,0.45751936797203774,0.34385632802023364,0.24098357405852094,0.21784004950991814,0.2165357939135168,0.5096078727510948,0.2924199510393773,0.21718792171171747,0.5817068434293601,0.6974637628443308,0.7292071999006218,0.8158507511814271,-0.1475003564712617,-0.11838698833709638,0.6395853031368455,0.7725289755410245,-0.13294367240417904
full_fusion,random_forest,3840,0.5411021478408313,0.5741272557524908,0.2556386443307013,0.31918722748808526,0.28546350351013,0.25494002826440554,0.5576147017966611,0.2874129359093933,0.27020176588726774,0.5707327741797852,0.5977066752600779,0.5255879266907624,0.5299748353747977,0.04514484748902281,0.0677318398852802,0.5842197247199316,0.52778138103278,0.056438343687151504,0.6166311997486685,0.6437854346876837,0.6022636836697204,0.5820851158998013,0.01436751607894815,0.0617003187878824,0.630208317218176,0.5921743997847608,0.03803391743341522,0.14372042900812615,0.19683458383981897,0.07399861368864094,0.0747634996381053,0.06972181531948521,0.12207108420171367,0.17027750642397255,0.07438105666337312,0.09589644976059943,0.5065371434966437,0.5414713002306647,0.16521565592915,0.22780195059793237,0.3413214875674937,0.3136693496327323,0.5240042218636543,0.1965088032635412,0.32749541860011305,0.6349284048629267,0.6539420502894913,0.8859601974523746,0.8321477201516629,-0.25103179258944797,-0.17820566986217168,0.644435227576209,0.8590539588020187,-0.21461873122580977
full_fusion,svm_rbf,3840,0.5647057206573403,0.569840408401572,0.26423646028271736,0.37115625528921264,0.3004692603746229,0.19868415311235937,0.5672730645294561,0.317696357785965,0.24957670674349114,0.5822842339084535,0.5986718300528613,0.5256142142711364,0.5459697115958617,0.056670019637317104,0.05270211845699957,0.5904780319806574,0.5357919629334991,0.05468606904715834,0.627220558742515,0.6528662036445454,0.579206229057975,0.6019284748962287,0.04801432968454,0.0509377287483167,0.6400433811935302,0.5905673519771019,0.04947602921642835,0.16578234845267495,0.19975398040419418,0.06153050016662992,0.11183963914329438,0.10425184828604503,0.0879143412608998,0.18276816442843458,0.08668506965496214,0.09608309477347243,0.5427045430348179,0.5344989941707434,0.18053506631222804,0.2737502305892182,0.3621694767225898,0.2607487635815252,0.5386017686027806,0.22714264845072313,0.3114591201520575,0.6218639247820894,0.6628446659349793,0.8706933622300447,0.8181891926025052,-0.24882943744795527,-0.15534452666752596,0.6423542953585344,0.844441277416275,-0.20208698205774056
full_fusion,xgboost,3840,0.5455741208388394,0.5758922751633475,0.2519250001059365,0.30009100864596394,0.2936491207329029,0.27580126651738357,0.5607331980010934,0.2760080043759502,0.28472519362514326,0.5751204362281306,0.6010158098691201,0.5277212743948075,0.5291181399811471,0.047399161833323045,0.07189766988797297,0.5880681230486253,0.5284197071879773,0.05964841586064806,0.6221947290222174,0.6530367298585669,0.6111464030563354,0.577966710263549,0.011048325965882011,0.07507001959501791,0.6376157294403921,0.5945565566599422,0.043059172780449906,0.15267523574718395,0.20370599812509854,0.07765773462619557,0.07680683443305886,0.07501750112098837,0.12689916369203968,0.17819061693614124,0.07723228452962722,0.10095833240651403,0.5113191287466768,0.5410136411650882,0.16621401081136444,0.2189327716133674,0.3451051179353124,0.32208086955172077,0.5261663849558825,0.19257339121236594,0.3335929937435166,0.6389217437095843,0.661017978573152,0.8892285379782507,0.8393035083489266,-0.2503067942686664,-0.1782855297757746,0.6499698611413682,0.8642660231635887,-0.21429616202222046
full_fusion_v2,mlp,3072,0.5436921876590964,0.5362811349218608,0.41420091084513794,0.3153924463602028,0.1294912768139585,0.220888688561658,0.5399866612904787,0.3647966786026704,0.17518998268780828,0.5634134635339518,0.5705342788655039,0.546891414769122,0.5267281756437678,0.016522048764829877,0.04380610322173606,0.5669738711997279,0.5368097952064449,0.03016407599328297,0.602407649651002,0.622871538517476,0.5958010495097973,0.5867609697662817,0.006606600141204733,0.03611056875119434,0.6126395940842391,0.5912810096380394,0.021358584446199647,0.12845699085527865,0.14326282577195334,0.109355316155018,0.06761070317299336,0.01910167470026064,0.07565212259895998,0.135859908313616,0.08848300966400569,0.04737689864961031,0.5236501328636747,0.4962967212027006,0.36259939284153264,0.2344397560013653,0.16105074002214204,0.2618569652013353,0.5099734270331876,0.29851957442144894,0.21145385261173866,0.603176794204229,0.6447718365283073,0.731183436696711,0.8190165952861704,-0.12800664249248206,-0.17424475875786316,0.6239743153662681,0.7751000159914407,-0.1511257006251726
full_fusion_v2,random_forest,3072,0.5330016195236353,0.5647407996566423,0.33469254039640167,0.32319313331406974,0.19830907912723367,0.24154766634257252,0.5488712095901388,0.32894283685523573,0.21992837273490307,0.5707602745408387,0.5920523766541432,0.5399475616545638,0.5278046310660973,0.03081271288627485,0.06424774558804591,0.581406325597491,0.5338760963603306,0.047530229237160326,0.6088965812534534,0.6421819252855478,0.6087634014157268,0.5847089910452983,0.00013317983772653808,0.057472934240249574,0.6255392532695006,0.5967361962305126,0.028803057038988,0.14511476951170424,0.18604662088150753,0.10114226601412671,0.06998354159804117,0.04397250349757753,0.11606307928346636,0.1655806951966059,0.08556290380608395,0.08001779139052195,0.4930615185631648,0.5319296160041506,0.235904627083803,0.23104388868496423,0.2571568914793618,0.30088572731918634,0.5124955672836577,0.2334742578843836,0.27902130939927416,0.6484590305185124,0.652175137304136,0.8439904962253246,0.8245653734472306,-0.19553146570681224,-0.17239023614309457,0.6503170839113241,0.8342779348362777,-0.1839608509249535
