representation,classifier,protocol,fold,dimension,metric,fixed_point,baseline_point,point_difference,bootstrap_mean_difference,bootstrap_std,ci95_low,ci95_high,p_value_two_sided,bootstrap_iterations,unit,interpretation
full_fusion,svm_rbf,R_S,3,384,mcc,0.07966054844354029,0.016668127707361712,0.06299242073617857,0.06256874400120323,0.06076746713555381,-0.043503251906308056,0.18806646780214892,0.325,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,3,768,f1,0.2942300643655177,0.0,0.2942300643655177,0.29552517157696895,0.05648087594384539,0.18960404710454562,0.41043895576181544,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,3,768,balanced_accuracy,0.5416590433970495,0.5,0.04165904339704951,0.0420052683390521,0.022085270291869935,0.002680280482968918,0.08783535055568079,0.032,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,3,768,roc_auc,0.574869950848586,0.5163042978130767,0.05856565303550931,0.05973280763713774,0.04304689745552979,-0.01648676691984665,0.1475759761701312,0.14,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,3,768,mcc,0.09666957021127412,0.0,0.09666957021127412,0.09770553497649845,0.053847925276332316,0.0016781587479105364,0.20727681479467647,0.047,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,3,1536,f1,0.1079100782802938,0.0,0.1079100782802938,0.10869097621202184,0.03795717285688542,0.03602313505065291,0.18494842116663254,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,3,1536,balanced_accuracy,0.5106796044464473,0.5,0.010679604446447333,0.010693611034259058,0.009191090363396286,-0.006759138358240576,0.02841463725941974,0.251,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,3,1536,roc_auc,0.552497911141056,0.5,0.05249791114105595,0.052659016500156246,0.025484710624444008,0.0045909247689439716,0.10479907747145564,0.027,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,3,1536,mcc,0.021728716281314654,0.0,0.021728716281314654,0.02148729541710299,0.039732910008829815,-0.0565824450384868,0.0979218446324634,0.617,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,4,384,f1,0.2362943739733418,0.0,0.2362943739733418,0.23624357169812218,0.06529495068508787,0.11433203292578294,0.3675537993580446,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,4,384,balanced_accuracy,0.5307693388728418,0.5,0.030769338872841834,0.030888915322547797,0.018065771487409135,-0.002183040356714029,0.06868202386819922,0.071,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,4,384,roc_auc,0.577460661902988,0.5740054427818743,0.003455219121113684,0.0029602842375914787,0.03626664840862803,-0.07516057397237087,0.057466527950831875,0.85,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,4,384,mcc,0.0817329431661792,0.0,0.0817329431661792,0.08180962107922915,0.04331732947344598,-0.0016525121698489325,0.16879701558432977,0.053,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,4,768,f1,0.15194124476423282,0.0,0.15194124476423282,0.15210435450538767,0.03886869239349667,0.08026562521788091,0.2361562507123991,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,4,768,balanced_accuracy,0.5100202681713532,0.5,0.010020268171353153,0.010035662275221896,0.010828658962740547,-0.009573170293379833,0.031874423508920065,0.358,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,4,768,roc_auc,0.5246834347093472,0.5173782475828765,0.007305187126470658,0.007376676392297141,0.029266587893653707,-0.0499779749440674,0.06158462421646185,0.794,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,4,768,mcc,0.033357203948047406,0.0,0.033357203948047406,0.03345747124703483,0.03134746259987934,-0.026633779078743758,0.09464548804102234,0.29,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,4,1536,f1,0.1322193344808379,0.0,0.1322193344808379,0.13180003994500422,0.033373906103479296,0.06601263959879855,0.1971936279738823,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,4,1536,balanced_accuracy,0.5141075645664275,0.5,0.014107564566427477,0.014163835782905188,0.0066339115608630905,0.0014805221676281797,0.02687230718306012,0.026,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,4,1536,roc_auc,0.5776201451825995,0.5004106058923681,0.07720953929023144,0.07727065494616991,0.032440215309763376,0.015051761227656831,0.14168177160864312,0.013,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,4,1536,mcc,0.06343976458253679,0.0,0.06343976458253679,0.0639843012277341,0.03143389734751188,0.002627906400378439,0.12470053413894339,0.037,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,0,384,f1,0.3956975412517233,0.5569867923583462,-0.16128925110662296,-0.1610510258097551,0.046472191989519504,-0.2551753698323259,-0.06772188818457119,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,0,384,balanced_accuracy,0.5417753587024676,0.525556822512231,0.01621853619023661,0.015544145934874635,0.026373548124232954,-0.03654043538380177,0.0650597476567345,0.554,2000,subject,CI includes zero
full_fusion,svm_rbf,S_R,0,384,roc_auc,0.5460537740353818,0.5403549693086709,0.005698804726710915,0.006027843482828474,0.02593112385882387,-0.043547239100679515,0.05798231005788305,0.829,2000,subject,CI includes zero
full_fusion,svm_rbf,S_R,0,384,mcc,0.08915148887407152,0.05989684267363176,0.029254646200439764,0.027932842089286508,0.05360179410495512,-0.077344527567164,0.13106598612902964,0.598,2000,subject,CI includes zero
full_fusion,svm_rbf,S_R,0,768,f1,0.40657827867480195,0.6499336984686949,-0.2433554197938929,-0.24291587819756852,0.050320328391098845,-0.33893442676116103,-0.14398565971617222,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,0,768,balanced_accuracy,0.5181152772090445,0.5,0.01811527720904449,0.01821702608445493,0.03438611253318012,-0.05316137158140713,0.08101422548572772,0.579,2000,subject,CI includes zero
full_fusion,svm_rbf,S_R,0,768,roc_auc,0.5412444973097643,0.5408188765256122,0.00042562078415209204,0.0008317472275432751,0.031028832113800062,-0.06613789649261848,0.055137981188812024,0.928,2000,subject,CI includes zero
full_fusion,svm_rbf,S_R,0,768,mcc,0.035898161723511866,0.0,0.035898161723511866,0.03610379735291505,0.07093240044972492,-0.11205340864830901,0.16411634962980534,0.597,2000,subject,CI includes zero
full_fusion,svm_rbf,S_R,0,1536,f1,0.46468665330639625,0.6499336984686949,-0.18524704516229862,-0.18622893787770062,0.04834248027419345,-0.2828638457031174,-0.09329164074508452,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,0,1536,balanced_accuracy,0.5251818759722463,0.5,0.025181875972246304,0.025144770262292674,0.031719649019597354,-0.03947800326424427,0.08632367434199988,0.418,2000,subject,CI includes zero
full_fusion,svm_rbf,S_R,0,1536,roc_auc,0.559535721536101,0.5004591368227732,0.05907658471332777,0.05912405995225835,0.04117575184023145,-0.02459471768137782,0.1390770085654741,0.166,2000,subject,CI includes zero
full_fusion,svm_rbf,S_R,0,1536,mcc,0.05364503165237439,0.0,0.05364503165237439,0.053579273293775896,0.06380206892192966,-0.07518168632902439,0.1761840335779442,0.388,2000,subject,CI includes zero
full_fusion,svm_rbf,S_R,1,384,f1,0.5769253168622068,0.27551228849445814,0.3014130283677487,0.3000501917661967,0.07271778536778803,0.15990518289147299,0.44438468470352044,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,1,384,balanced_accuracy,0.575845055137439,0.5159976908525492,0.05984736428488979,0.05984943636182173,0.019709324535170592,0.020940621508811732,0.1000087755181041,0.004,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,1,384,roc_auc,0.6053823284969004,0.5882028726931232,0.01717945580377722,0.017420690736694916,0.01795171256338883,-0.01634862271249177,0.053416312298961544,0.346,2000,subject,CI includes zero
full_fusion,svm_rbf,S_R,1,384,mcc,0.15693542162226828,0.030042486894054973,0.1268929347282133,0.12701132469418516,0.04165646795783709,0.043645317011804026,0.20557859998276642,0.005,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,1,768,f1,0.5465588092639132,0.674708136644643,-0.12814932738072982,-0.12919445978501706,0.04841796833843686,-0.23536036422677709,-0.052509578733847914,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,1,768,balanced_accuracy,0.5641071342909431,0.5,0.06410713429094306,0.06372904342044682,0.0239592069985408,0.01778545952919017,0.10954695315010253,0.01,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,1,768,roc_auc,0.5814670334209343,0.5248942889449923,0.05657274447594196,0.056278004786695465,0.02613142596277146,0.006525809508008178,0.10642703100630127,0.034,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,1,768,mcc,0.12778802812036244,0.0,0.12778802812036244,0.12697454110578002,0.04980501210651201,0.030609574793116483,0.22103417396078523,0.013,2000,subject,CI excludes zero
