pc1,pc2,device,label
2.6143925,-2.6518521,S,0
2.430377,-2.4982667,S,1
2.952159,0.35329777,R,1
3.8954432,1.2711911,R,0
2.2806513,-2.4982755,S,1
4.021064,1.1693802,R,0
-4.605185,1.3926698,R,0
-5.456597,-1.6918247,S,1
-3.52998,-3.0756137,S,1
3.67324,0.5655662,R,1
-5.2822967,-0.3358171,S,0
-3.6671984,-4.406687,S,1
-3.3707566,-4.921213,S,1
3.8803012,0.39270353,R,1
3.8871741,0.6067365,R,0
-1.1077961,-1.274836,R,0
-3.0135186,-4.849604,S,1
0.33991444,-0.5104848,R,1
1.3641187,-0.66633314,R,0
-2.401758,-4.985559,S,1
-3.1119878,-5.0641465,S,1
-0.9902017,-4.809591,S,0
3.6746216,0.75977933,R,0
-4.2239175,-4.08338,S,0
2.335613,0.39757958,R,0
1.5952436,0.32176977,R,1
3.048354,0.53758353,R,1
-2.011621,0.063344486,R,0
-5.577626,0.6231349,R,0
-4.6622477,-3.267372,S,1
3.723976,0.6702503,R,1
-5.3771787,-0.73379475,S,0
-5.8566337,0.6611163,S,1
-3.3119636,-3.6371684,S,1
-2.0958266,-0.943676,R,1
3.709785,0.37198117,R,1
-4.3194675,-3.175015,S,1
3.8820634,0.56990486,R,0
-3.024188,-0.32880816,R,0
-4.4272175,-3.5318954,S,0
-2.873843,-2.441463,S,0
-3.8024757,-3.2722409,S,0
3.7553742,0.53359205,R,0
-1.7371395,-0.58222467,R,0
3.744154,0.6971802,R,1
3.7959902,0.6787381,R,1
-5.725797,0.49124268,S,0
-1.5718273,-2.1006324,S,1
3.9390082,0.7101073,R,1
1.7873466,-2.0146635,S,1
-0.72526497,-0.48674995,S,0
3.9190128,0.14761382,R,0
-3.5064137,-2.6606288,S,1
1.5645101,-3.259118,S,1
-3.3631775,1.0903319,R,0
3.796208,0.4433648,R,1
0.99749,-3.2238898,S,0
2.5445657,0.4871509,R,1
1.4733545,-3.4020448,S,0
1.8772937,-3.036375,S,1
-1.6766855,-4.1257305,S,1
0.6711712,-2.3604708,S,0
-0.1137048,-2.6948104,S,1
2.129808,-3.0173447,S,1
0.7922058,-3.1441848,S,0
1.3468457,-2.1351244,S,0
2.0383058,-3.052936,S,1
3.095657,1.7016453,R,1
1.3631655,-3.6415555,S,1
3.9386773,0.49340653,R,1
3.297162,1.7475415,R,1
1.2417483,-2.0087478,S,1
-0.79424274,-2.0034792,S,1
0.3493474,-3.482914,S,1
1.5422628,-3.0105696,S,1
1.4582019,0.25281772,R,1
2.1017003,-3.0191543,S,1
3.8261185,0.20330623,R,0
3.3942895,0.15968612,R,1
1.6502848,-2.2013156,S,0
3.9436448,0.4062396,R,1
1.2947239,-3.5632226,S,0
4.2279587,0.5589221,R,1
4.185103,0.429464,R,0
1.8812386,-3.298092,S,0
-0.49785376,-1.1029916,S,0
3.7184646,0.61733925,R,0
-5.0977845,-0.99523914,S,0
1.948475,-2.9199634,S,1
1.006451,-0.18692268,R,0
-4.603853,-2.385524,S,1
1.9666848,-2.8987734,S,1
-3.75046,-0.11563722,R,1
4.1833653,0.52198845,R,0
1.5739506,0.071988046,R,1
3.3258665,0.28079742,R,1
-0.62172204,-3.1578944,S,1
3.9586182,0.78915864,R,1
-2.2062526,-2.7668364,S,1
-4.0939713,0.60737866,S,1
1.9528507,-2.940607,S,1
-1.1139812,0.5354246,R,0
-0.03508581,-4.2985106,S,0
-0.7669833,-0.38583592,R,0
3.6980896,0.3144594,R,0
4.0735693,0.15370703,R,1
3.9120078,0.2500488,R,1
-4.3023605,-2.1492803,S,0
0.39658114,-4.3495474,S,1
3.9338236,0.27005225,R,0
2.795807,0.39858675,R,0
3.9029937,0.3558364,R,1
-0.019134985,-4.328644,S,0
3.4653378,0.21091333,R,1
3.867107,0.4074955,R,0
-4.447918,0.7138251,S,0
4.12726,0.5520025,R,1
0.29482195,-4.2318482,S,1
-3.5786061,0.28489694,R,0
-1.0566902,0.87251896,R,0
-4.479787,-1.232528,S,1
-0.02067362,-3.862341,S,1
0.061271086,-4.3909073,S,0
0.5353025,-4.034223,S,1
0.48393315,-4.0889387,S,1
-4.252256,-2.7800765,S,0
3.9502988,0.3719005,R,1
3.6348329,0.12574966,R,0
0.38721478,-4.301707,S,0
-0.36819276,-3.9729176,S,1
-0.69526714,-1.9864041,S,1
3.9339554,0.38764933,R,1
-1.3949329,-1.7073812,R,1
-0.9279279,-3.6073954,S,0
3.2638395,0.29320806,R,0
-5.6289616,-0.09418622,S,0
0.49572304,-4.2882495,S,1
0.9183031,-3.5739024,S,0
3.170656,-0.0056678983,R,0
-0.7715636,-3.1336355,S,0
0.62546605,-4.111117,S,1
0.6331516,-4.107332,S,0
3.3331838,0.23205201,R,0
-3.149981,-0.83524936,R,1
3.9898453,0.37794748,R,1
-4.441231,-1.4764305,S,1
0.037295472,-4.0530877,S,1
-4.705567,-0.7219239,S,0
3.8949912,0.36301985,R,0
-1.6759405,-4.086816,S,0
0.46664262,-4.2653465,S,1
-2.3249052,-5.0701127,S,0
3.646646,0.21629858,R,0
3.4366183,-0.0551424,R,1
-4.7058597,-3.067551,S,1
3.901532,-0.039876185,R,0
-3.65341,-4.4102297,S,1
-5.4632664,-1.4832191,S,1
4.1530843,0.3834958,R,0
2.872793,0.24942341,R,0
3.5238369,-0.055449057,R,1
-3.4685676,-1.0761896,S,0
-2.754758,-2.9967895,S,0
-3.0560398,-2.5244408,R,0
3.234341,0.121440135,R,0
4.0387573,0.2575544,R,1
-4.5676904,-3.0102077,S,1
-5.2645054,-1.7673693,S,0
-4.944941,1.3814675,R,1
3.8520799,0.14183801,R,1
-3.396749,-4.898398,S,1
3.7029958,0.27561456,R,0
-4.4191527,-4.039266,S,0
-3.7693348,-3.4057593,S,0
-3.6266303,-3.836468,S,1
-3.3525279,-4.141034,S,1
3.8719163,0.0809557,R,1
3.938362,0.29794008,R,0
-4.2035866,-1.5177842,S,0
1.650667,-0.24985468,R,0
3.4163785,0.03965914,R,1
-4.371319,-3.1643252,S,1
-3.0310512,-1.1933352,R,0
4.1777735,0.5445879,R,0
4.135716,0.8939581,R,0
3.743435,-0.5487053,S,1
4.1703234,0.66122115,R,0
3.90277,0.618083,R,0
4.122022,0.7268294,R,0
4.0745277,0.68192357,R,0
-2.5664275,0.58597845,R,0
3.9237337,0.69436765,R,0
3.6309507,-0.15393445,S,1
-1.9753244,1.4645503,R,0
3.399112,-0.6460216,S,0
3.993087,0.67476696,R,1
4.2148943,0.7236246,R,1
3.577582,-0.54711455,S,0
-2.15504,0.8234833,R,0
4.188026,0.5908231,R,0
3.2865162,-0.8965446,S,0
4.115235,0.7640956,R,1
3.312933,-0.5307625,S,1
3.2508552,-0.12918147,S,1
-2.1130602,1.0026749,R,0
-2.1669257,0.6512062,R,1
-2.3796623,0.8445878,R,0
4.105461,0.6513568,R,1
3.5211916,-0.43234226,S,1
-2.5566998,1.0189177,S,0
4.1580567,0.51342565,R,1
4.183855,0.69569707,R,1
-3.7500906,0.78117424,S,1
2.027358,-0.68049914,S,1
3.9810154,0.21900682,R,1
-2.963058,2.9001002,R,1
3.8591783,0.20750515,R,0
-2.8051221,-0.40113097,S,0
3.8810673,0.15074751,R,1
2.282811,-0.124790475,S,1
0.73139334,-0.2035784,S,1
-0.32192513,-1.176752,R,1
0.85998803,-0.8919255,R,0
2.6363757,-0.37316293,S,1
2.4881756,-0.5260336,S,1
-2.5067096,-0.4645197,R,0
2.6497867,-0.5248879,S,1
-4.4138956,2.0971832,S,1
